"id","budburst","leafout","tx","chill","lo.ht","thick1","thick2","tough1","tough2","budset","shoots","roots","ht.final","mg.cm2","phenol","chlavg","ht.diff","meristem","chill1","chill2","species","dvr","tough","thick","tough.date","tough.age","bset","budsetdoy","gslength","rgr_final","folin","species.name","drought","drought1","drought2"
"SORAME_48",29,42,1,3,46.8,0.121,0.137,0.39,0.31,NA,NA,NA,NA,0.0042,"","21.075",3.8,0,0,1,"SORAME",13,0.35,0.129,163,116.2,NA,NA,NA,NA,NA,"Sorbus americana",2,0,1
"SORAME_58",35,46,0,3,39.9,0.086,0.13,0.38,0.34,NA,NA,NA,NA,0.0054,"","22.375",2.8,0,0,1,"SORAME",11,0.36,0.108,163,123.1,NA,NA,NA,NA,NA,"Sorbus americana",1,1,0
"SORAME_68",26,49,1,3,54.1,0.115,0.118,0.36,0.32,NA,NA,NA,NA,0,"","17.9",7.1,0,0,1,"SORAME",23,0.34,0.1165,163,108.9,NA,NA,NA,NA,NA,"Sorbus americana",2,0,1
"SORAME_78",26,39,0,3,45.2,0.132,0.117,0.2,0.32,NA,NA,NA,NA,0.0034,"","20.2",3.5,0,0,1,"SORAME",13,0.26,0.1245,163,117.8,NA,NA,NA,NA,NA,"Sorbus americana",2,0,1
"SORAME_98",29,44,0,3,58.5,0.162,0.174,0.29,0.31,NA,NA,NA,NA,0.0057,"","22.775",-3.1,0,0,1,"SORAME",15,0.3,0.168,163,104.5,NA,NA,NA,NA,NA,"Sorbus americana",2,0,1
"SORAME_118",32,42,0,3,40.5,0.079,0.094,0.25,0.32,NA,NA,NA,NA,0,"","19.85",6.3,0,0,1,"SORAME",10,0.285,0.0865,163,122.5,NA,NA,NA,NA,NA,"Sorbus americana",1,1,0
"SORAME_128",32,46,1,3,47.6,0.109,0.139,0.32,0.22,NA,NA,NA,NA,0.0038,"","20.675",5.1,0,0,1,"SORAME",14,0.27,0.124,163,115.4,NA,NA,NA,NA,NA,"Sorbus americana",1,1,0
"SORAME_148",35,44,1,3,48.4,0.14,0.1,0.25,0.2,"2019-09-26",NA,NA,NA,0,"","18.35",4,1,0,1,"SORAME",9,0.225,0.12,163,114.6,269,248,199.6,NA,NA,"Sorbus americana",1,1,0
"SORAME_158",29,42,0,3,42.9,0.084,0.089,0.28,0.34,NA,NA,NA,NA,0.0078,"","24.975",5.1,0,0,1,"SORAME",13,0.31,0.0865,163,120.1,NA,NA,NA,NA,NA,"Sorbus americana",2,0,1
"VIBDEN_14",36,59,0,1,21.1,0.112,0.152,0.61,0.42,NA,NA,NA,NA,0.0149,"-0.03","32.05",2.1,0,0,0,"VIBDEN",23,0.515,0.132,176,154.9,NA,NA,NA,NA,-0.000680929226563848,"Viburnum dentatum",2,0,1
"VIBDEN_24",31,50,1,1,25,0.121,0.108,0.47,0.87,NA,NA,NA,NA,0.0149,"-0.03","32.025",0.3,1,0,0,"VIBDEN",19,0.67,0.1145,176,151,NA,NA,NA,NA,-0.000680929226563848,"Viburnum dentatum",0,0,0
"VIBDEN_34",48,59,0,1,33.6,0.12,0.125,0.47,0.67,NA,NA,NA,NA,0.0192,"-0.06","35.875",-0.2,1,0,0,"VIBDEN",11,0.57,0.1225,176,142.4,NA,NA,NA,NA,0.0009493881554725,"Viburnum dentatum",2,0,1
"VIBDEN_44",36,59,1,1,29.5,0.104,0.122,0.51,0.58,NA,NA,NA,NA,0.0177,"-0.11","34.6",1.3,1,0,0,"VIBDEN",23,0.545,0.113,176,146.5,NA,NA,NA,NA,0.00366658379219975,"Viburnum dentatum",2,0,1
"VIBDEN_54",29,45,0,1,19.5,0.145,0.134,0.9,0.96,NA,NA,NA,NA,0.004,"-0.03","20.825",0.4,0,0,0,"VIBDEN",16,0.93,0.1395,176,156.5,NA,NA,NA,NA,-0.000680929226563848,"Viburnum dentatum",0,0,0
"VIBDEN_64",43,69,1,1,30.6,0.099,0.136,0.36,0.4,NA,NA,NA,NA,0.0053,"-0.03","22.975",0,1,0,0,"VIBDEN",26,0.38,0.1175,176,145.4,NA,NA,NA,NA,-0.000680929226563848,"Viburnum dentatum",2,0,1
"VIBDEN_74",43,59,0,1,32.2,0.176,0.147,0.64,0.98,NA,NA,NA,NA,0.0044,"-0.03","21.275",0,0,0,0,"VIBDEN",16,0.81,0.1615,176,143.8,NA,NA,NA,NA,-0.000680929226563848,"Viburnum dentatum",2,0,1
"VIBDEN_94",34,53,0,1,33.6,0.143,0.136,0.86,0.69,NA,NA,NA,NA,0.0073,"-0.05","24.425",0.6,0,0,0,"VIBDEN",19,0.775,0.1395,176,142.4,NA,NA,NA,NA,0.000405949028127051,"Viburnum dentatum",0,0,0
