"id","budburst","leafout","tx","chill","lo.ht","thick1","thick2","tough1","tough2","budset","shoots","roots","ht.final","chill1","chill2","species","dvr","tough","tough.date","tough.age","bset","budsetdoy","gslength","rgr_final","thick"
"ALNRUG_58",18,32,0,3,35.4,0.135,0.14,0.31,0.28,NA,NA,NA,NA,0,1,"ALNRUG",14,0.295,163,127.6,NA,NA,NA,NA,0.1375
"ALNRUG_68",NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"ALNRUG",NA,NA,163,NA,NA,NA,NA,NA,NA
"ALNRUG_78",NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"ALNRUG",NA,NA,163,NA,NA,NA,NA,NA,NA
"ALNRUG_88",23,37,1,3,31.3,0.121,0.126,0.37,0.28,NA,NA,NA,NA,0,1,"ALNRUG",14,0.325,163,131.7,NA,NA,NA,NA,0.1235
"ALNRUG_98",18,35,0,3,29.1,0.146,0.155,0.3,0.37,NA,NA,NA,NA,0,1,"ALNRUG",17,0.335,163,133.9,NA,NA,NA,NA,0.1505
"ALNRUG_108",21,35,1,3,20.2,0.113,0.134,0.34,0.21,NA,NA,NA,NA,0,1,"ALNRUG",14,0.275,163,142.8,NA,NA,NA,NA,0.1235
"ALNRUG_118",26,39,0,3,27.3,0.104,0.153,0.35,0.36,NA,NA,NA,NA,0,1,"ALNRUG",13,0.355,163,135.7,NA,NA,NA,NA,0.1285
"ALNRUG_128",21,42,1,3,25.5,0.136,0.127,0.24,0.3,NA,NA,NA,NA,0,1,"ALNRUG",21,0.27,163,137.5,NA,NA,NA,NA,0.1315
"ALNRUG_138",16,35,0,3,27,0.115,0.138,0.23,0.19,NA,NA,NA,NA,0,1,"ALNRUG",19,0.21,163,136,NA,NA,NA,NA,0.1265
"ALNRUG_148",18,42,1,3,28.3,0.107,0.124,0.29,0.24,NA,NA,NA,NA,0,1,"ALNRUG",24,0.265,163,134.7,NA,NA,NA,NA,0.1155
"ALNRUG_158",21,39,0,3,33.1,0.124,0.197,0.35,0.28,NA,NA,NA,NA,0,1,"ALNRUG",18,0.315,163,129.9,NA,NA,NA,NA,0.1605
"ALNRUG_168",26,42,1,3,23.4,0.161,0.152,0.4,0.4,NA,NA,NA,NA,0,1,"ALNRUG",16,0.4,163,139.6,NA,NA,NA,NA,0.1565
"BETPAP_14",24,43,0,1,40.2,0.169,0.184,0.31,0.3,2019-08-30,NA,NA,42.1,0,0,"BETPAP",19,0.305,176,135.8,242,242,201.8,0.941526263627353,0.1765
"BETPAP_24",13,31,1,1,33.9,0.158,0.208,0.2,0.3,NA,NA,NA,NA,0,0,"BETPAP",18,0.25,176,142.1,NA,NA,NA,NA,0.183
"BETPAP_34",13,27,0,1,34.4,0.159,0.148,0.31,0.3,NA,NA,NA,NA,0,0,"BETPAP",14,0.305,176,141.6,NA,NA,NA,NA,0.1535
"BETPAP_44",10,34,1,1,32.8,0.158,0.17,0.21,0.21,NA,NA,NA,NA,0,0,"BETPAP",24,0.21,176,143.2,NA,NA,NA,NA,0.164
"BETPAP_54",13,27,0,1,36.1,0.182,0.179,0.28,0.29,2019-08-30,NA,NA,48.8,0,0,"BETPAP",14,0.285,176,139.9,242,242,205.9,6.16804273919378,0.1805
"BETPAP_64",13,43,1,1,39.4,0.169,0.181,0.36,0.32,NA,NA,NA,NA,0,0,"BETPAP",30,0.34,176,136.6,NA,NA,NA,NA,0.175
"BETPAP_74",13,27,0,1,34.1,0.141,0.211,0.35,0.31,NA,NA,NA,NA,0,0,"BETPAP",14,0.33,176,141.9,NA,NA,NA,NA,0.176
"BETPAP_84",13,27,1,1,41.2,0.168,0.196,0.46,0.28,2019-08-30,NA,NA,NA,0,0,"BETPAP",14,0.37,176,134.8,242,242,200.8,NA,0.182
